Ticker,Name,ISIN,Exchange,Currency,Region
AC*,ARCA CONTINENTAL,,BOLSA MEXICANA DE VALORES,JPY,MX
AC*,AC*,MX01AC100006,,MXN,MX
ALPEKA,ALPEK SA DE CV,,BOLSA MEXICANA DE VALORES,JPY,MX
ALSEA*,ALSEA DE CV,,BOLSA MEXICANA DE VALORES,JPY,MX
AMXB,AMERICA MOVIL B,,BOLSA MEXICANA DE VALORES,JPY,MX
AMXB,AMXB,MX01AM050019,,MXN,MX
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,,BOLSA MEXICANA DE VALORES,JPY,MX
ASURB,ASURB,MXP001661018,,MXN,MX
BBAJIOO,BANCO DEL BAJIO INSTITUCION DE BAN,,BOLSA MEXICANA DE VALORES,JPY,MX
BIMBOA,GRUPO BIMBO A,,BOLSA MEXICANA DE VALORES,JPY,MX
BIMBOA,BIMBOA,MXP495211262,,MXN,MX
BOLSAA,BOLSA MEXICANA DE VALORES,,BOLSA MEXICANA DE VALORES,JPY,MX
CEMEXCPO,CEMEX CPO,,BOLSA MEXICANA DE VALORES,JPY,MX
CEMEXCPO,CEMEXCPO,MXP225611567,,MXN,MX
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,,BOLSA MEXICANA DE VALORES,JPY,MX
FEMSAUBD,FEMSAUBD,MXP320321310,,MXN,MX
FIBRAPL,FIBRAPL,MXCFFI170008,,MXN,MX
FIBRAPL14,PROLOGIS PROPERTY MEXICO REIT,,BOLSA MEXICANA DE VALORES,JPY,MX
FMTY14,FIBRA MTY SAPI REIT,,BOLSA MEXICANA DE VALORES,JPY,MX
FUNO11,FIBRA UNO ADMINISTRACION REIT,,BOLSA MEXICANA DE VALORES,JPY,MX
FUNO11,FUNO11,MXCFFU000001,,MXN,MX
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,,BOLSA MEXICANA DE VALORES,JPY,MX
GAPB,GAPB,MX01GA000004,,MXN,MX
GCARSOA1,GRUPO CARSO SERIES A1,,BOLSA MEXICANA DE VALORES,JPY,MX
GCARSOA1,GCARSOA1,MXP461181085,,MXN,MX
GCC*,GRUPO CEMENTOS,,BOLSA MEXICANA DE VALORES,JPY,MX
GENTERA*,GENTERA SAB DE CV,,BOLSA MEXICANA DE VALORES,JPY,MX
GFINBURO,GRUPO FINANCIERO INBURSA SRIES O,,BOLSA MEXICANA DE VALORES,JPY,MX
GFINBURO,GFINBURO,MXP370641013,,MXN,MX
GFNORTEO,GPO FINANCE BANORTE,,BOLSA MEXICANA DE VALORES,JPY,MX
GFNORTEO,GFNORTEO,MXP370711014,,MXN,MX
GMEXICOB,GRUPO MEXICO B,,BOLSA MEXICANA DE VALORES,JPY,MX
GMEXICOB,GMEXICOB,MXP370841019,,MXN,MX
GRUMAB,GRUMA,,BOLSA MEXICANA DE VALORES,JPY,MX
GRUMAB,GRUMAB,MXP4948K1056,,MXN,MX
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,,BOLSA MEXICANA DE VALORES,JPY,MX
KIMBERA,KIMBERA,MXP606941179,,MXN,MX
KOFUBL,COCA-COLA FEMSA CLASS UBL UNITS,,BOLSA MEXICANA DE VALORES,JPY,MX
KOFUBL,KOFUBL,MX01KO000002,,MXN,MX
LABB,GENOMMA LAB INTERNATIONAL,,BOLSA MEXICANA DE VALORES,JPY,MX
LACOMERUBC,LA COMER UBC,,BOLSA MEXICANA DE VALORES,JPY,MX
MEGACPO,MEGACABLE HOLDINGS CPO,,BOLSA MEXICANA DE VALORES,JPY,MX
OMAB,GRUPO AEROPORTUARIO DEL CENTRO NOR,,BOLSA MEXICANA DE VALORES,JPY,MX
OMAB,OMAB,MX01OM000018,,MXN,MX
ORBIA*,ORBIA ADVANCE CORP SA DE CV,,BOLSA MEXICANA DE VALORES,JPY,MX
PE&OLES*,INDUST PENOLES,,BOLSA MEXICANA DE VALORES,JPY,MX
PE&OLES*,PE&OLES*,MXP554091415,,MXN,MX
PINFRA*,PROMOTORA Y OPERADORA DE INFRAESTR,,BOLSA MEXICANA DE VALORES,JPY,MX
PINFRA*,PINFRA*,MX01PI000005,,MXN,MX
Q*,QUALITAS CONTROLADORA,,BOLSA MEXICANA DE VALORES,JPY,MX
RA,REGIONAL SAB DE CV,,BOLSA MEXICANA DE VALORES,JPY,MX
SIGMAFA,ALFA A,,BOLSA MEXICANA DE VALORES,JPY,MX
SIGMAFA,SIGMAFA,MXP000511016,,MXN,MX
TLEVISACPO,GRUPO TELEVISA,,BOLSA MEXICANA DE VALORES,JPY,MX
VESTA*,CORPORACION INMOBILIARIA VESTA,,BOLSA MEXICANA DE VALORES,JPY,MX
VOLARA,CONTROLADORA VUELA COMPANIA DE AVI,,BOLSA MEXICANA DE VALORES,JPY,MX
WALMEX*,WALMART DE MEXICO V,,BOLSA MEXICANA DE VALORES,JPY,MX
WALMEX*,WALMEX*,MX01WA000038,,MXN,MX
